Program,ID,Name,Dscription,Comments,Program/Accelerator Interim Director review,Complementarity of Results SI,Efficiencies/Strategic Benefit SI,Budget allocation from Project to Program,Total Budget for this Program,Total approximate project remaining budget,Project Summary,Project results,Start Date,End Date,Center,Location,Countries,Source of funding,Funder
Breeding for Tomorrow,174,W0516 W-Shandong Maize and wheat production caused by abiotic an biotic stresses and Global climate chan,W-Shandong Maize and wheat production caused by abiotic an biotic stresses and Global climate chan,,Agree,High,High,1,2002498,2002498,"The purpose of this agreement is to establish a collaborative research and training platform focused on maize and wheat genomics. This platform will advance research and breeding of new varieties, and provide comprehensive systems research, education, and training.",,31-Dec-23,30-Dec-26,International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo,country,China,Bilateral,Instituto Amazónico de Investigaciones Científicas
Breeding for Tomorrow,175,W0500-Verify global potential of biologic. Nitrific. inhib,Verify global potential of biologic. Nitrific. inhibition,,Agree,High,High,0.7,14274964.2,20392806,The purpose of the Project is to accelerate breeding and deployment of novel wheat lines with greatly improved nitrogen-use efficiency due to root exudation of nitrification-inhibiting secondary metabolites.,,31-Dec-23,11-Jul-29,International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo,country,"Mexico, Pakistan, Ethiopia, India",Bilateral,Beyond Borders
Breeding for Tomorrow,155,M0377-VACS Quick Wins Project,VACS Quick Wins Project,,Agree,High,High,1,4987372,4987372,"The main objective of VACS is to boost agricultural productivity and nutrition by developing diverse, climate-resilient crop varieties and building healthy soils.",,01-Oct-23,30-Sep-26,International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo,country,,Window 3,
Breeding for Tomorrow,156,D0006-VACS Crop Improvement Coalition,VACS Crop Improvement Coalition,,Agree,High,High,1,14998521,14998521,"The VACS project aims to enhance agricultural productivity and nutrition by developing climate-resilient crop varieties and building healthy soils. Its strategic goals are to transform agrifood systems through innovation and inclusivity, ensure food and nutrition security within planetary boundaries, and improve the resilience of smallholder farmers' livelihoods. VACS focuses on developing resilient crop varieties, enhancing soil health, supporting smallholder farmers, advocating for supportive policies, and monitoring and evaluating impact. The expected outcomes are increased productivity, improved nutrition, resilient livelihoods, sustainable agrifood systems, and strengthened global coordination to address agrifood disruptions and climate impacts.",,01-Oct-23,30-Sep-26,International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo,country,"Togo, Burkina Faso, Senegal, Kenya, Zambia, The Republic of the Sudan, Mali, Nigeria, Chad, Ghana, Ethiopia, Cameroon, Tanzania, United Republic, Malawi",Window 3,
Breeding for Tomorrow,176,R0235-USAID-VACS BT Pigeon Pea,USAID-VACS BT Pigeon Pea,,Agree,Med,High,1,4500000,4500000,"The VACS BT Pigeon Pea Project, part of the Vision for Adapted Crops and Soils (VACS) initiative, aims to enhance food security and nutrition in Africa. The project focuses on revitalizing traditional crops like pigeon pea, which are crucial for improving soil health and providing balanced nutrition.",,01-Jan-24,31-Dec-25,International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo,country,"Malawi, Mexico, Tanzania, United Republic",Window 3,
Breeding for Tomorrow,177,D-200390-UK-CGIAR Collaboration: Leveraging genetic innovations for a,UK-CGIAR Collaboration: Leveraging genetic innovations for accelerated breeding of climate resilient and nutritious crop,,Agree,High,High,1,1068646.715,1068646.715,"This project aims to accelerate the breeding process and deliver higher genetic gain, , farmer-preferred varieties by adopting new breeding approaches (genome editing and sequence-based gene discovery), exploiting novel genetic variation and developing data-driven approaches to breeding. While the focus is on wheat, the methods and pipelines can be employed to other crops. The project team use genome editing to develop locally adapted wheat varieties with (i) enhanced resistance to wheat rusts; increased iron content, whilst also developing ‘big genome data’ approaches to accelerate genetic gain in traditional breeding approaches. The project works to reduce reliance on imports in major wheat importing countries (e.g., Egypt is top globally), improved resilience to climate-change triggered rust epidemics, increased iron intake and improvement of women and children’s health in societies where wheat is a staple crop (particularly Pakistan, Egypt, Kenya).",,31-Dec-23,30-Dec-26,International Center for Agricultural Research in the Dry Areas,country,"Morocco, Egypt, Pakistan",Bilateral,
Breeding for Tomorrow,265,Climate-smart initiatives for climate change adaptation and sustainability in prioritized agricultural production systems in Colombia (CSICAP),"The Climate-Smart Initiatives for Climate Change Adaptation and Sustainability in Prioritized Agricultural Production Systems in Colombia (CSICAP) project aims to safeguard livelihoods, boost productivity, and enhance profitability in nine of Colombia's key agri-food value chains, while increasing resilience to climate change impacts and reducing greenhouse gas emissions in the agriculture sector. With a USD $100 million budget, funded by the Green Climate Fund (GCF), Development Bank of Latin America (CAF), the government of Colombia, and partner contributions, CSICAP aims to benefit 200,000 people directly and nearly one million indirectly. The project will help reduce over 2 million tons of CO2 equivalent emissions through digital agroclimatic services, climate-resilient crops, water-efficient climate-smart practices, inclusive capacity-building, and innovative business models. It will be implemented in 22 out of 32 departments in Colombia.",,Agree,Med,Med,0.05,4071734.05,81434681,"The Climate-Smart Initiatives for Climate Change Adaptation and Sustainability in Prioritized Agricultural Production Systems in Colombia (CSICAP) project aims to safeguard livelihoods, boost productivity, and enhance profitability in nine of Colombia's key agri-food value chains, while increasing resilience to climate change impacts and reducing greenhouse gas emissions in the agriculture sector. With a USD $100 million budget, funded by the Green Climate Fund (GCF), Development Bank of Latin America (CAF), the government of Colombia, and partner contributions, CSICAP aims to benefit 200,000 people directly and nearly one million indirectly. The project will help reduce over 2 million tons of CO2 equivalent emissions through digital agroclimatic services, climate-resilient crops, water-efficient climate-smart practices, inclusive capacity-building, and innovative business models. It will be implemented in 22 out of 32 departments in Colombia.",,31-Mar-25,30-Dec-28,Alliance of Bioversity and CIAT - Regional Hub (International Center for Tropical Agriculture / Centro Internacional de Agricultura Tropical),country,Colombia,BILATERAL - RESTRICTED,
Breeding for Tomorrow,8,1078-CHI0   Supporting preparation work of CCCAP in China,"The Chinese government funded this CIP endeavour to support training of Chinese young scientist,  collaborative projects in China and, the operation of CCCAP in China. (Recurring)",,Agree,Med,Med,1,NaN,NaN,"The Chinese government funded this CIP endeavour to support training of Chinese young scientist,  collaborative projects in China and, the operation of CCCAP in China.", ,31-Dec-14,25-Dec-31,International Potato Center / Centro Internacional de la Papa,country,China,Bilateral,
Breeding for Tomorrow,152,"T-PJ-003917-Strengthening soybean crop improvement in Africa to accelerate development of a stream of climate-smart varieties for small-scale producers, enabling their income growth, improved nutrition and national economic growth.",Strengthening soybean crop improvement in Africa,,Agree,High,High,1,3802098.05,3802098.05,"This project seeks to modernize soybean breeding in sub-Saharan Africa by integrating genomic selection and speed breeding with traditional phenotypic methods. The primary objective is to accelerate the development and dissemination of high-yielding, stress-tolerant soybean varieties suitable for smallholder farmers. Key outputs include the establishment of robust breeding networks in East, Southern and West Africa and the alignment of breeding efforts with market intelligence and investment opportunities. This project will utilize Seed Equal tools and expertise, alongside existing and new seed company relationships, to ensure the effective delivery of new soybean varieties. These efforts aim to significantly improve soybean production and resilience in the region.",Establish a Speed Breeding Platform at IITA and implement Genomic Selection for higher genetic gain. Release rust-resistant varieties and accelerate seed multiplication with NARS partners. Integrate the 1000 Farms approach into IITA soybean breeding.,09-Sep-23,30-Dec-27,International Institute of Tropical Agriculture,country,"Benin, Uganda, Malawi",Window 3,
Breeding for Tomorrow,211,R-A-2023-11-Specialty Rice,SpecialtyRice,,Agree,High,High,0.5,713557,1427114,The major goal of this project is to develop a sustained system for specialty rice in Odisha for improved farm economics of growers and healthier rice choice for consumers.,,31-Mar-24,30-Mar-27,International Rice Research Institute,country,India,Bilateral,
Breeding for Tomorrow,68,R-A-2023-46-SGP-GENOME EDITING Genome Editing Project,SGP-GENOME EDITING Genome Editing Project,,Agree,Med,High,1,1142536,1142536,"The Genome Editing Initiative (‘Genome Editing’) takes a holistic and long-term view of growing future demand for GEd solutions as experience with the technology and social acceptance grows. This initiative is a pilot effort to streamline the NARS-CGIAR gene editing innovation pipeline, and its supporting activities to reach the end user and create impacts.",,06-Jan-22,29-Jun-25,International Rice Research Institute,country,"Indonesia, Philippines",Window 3,Fundación para el Desarrollo Empresarial y Agrícola
Breeding for Tomorrow,157,I0001 - SGP-BMI Genetic Innovation Transition Plan,SGP-BMI Genetic Innovation Transition Plan,,Agree,High,High,1,3097483,3097483,"The EiB II: Cross-Crop Support Services for Breeding Acceleration project is a CIMMYT-led initiative funded by the Bill & Melinda Gates Foundation (BMGF) to enhance breeding efficiency across CGIAR and National Agricultural Research and Extension Systems (NARES). The project focuses on accelerating the development and deployment of improved crop varieties by integrating cost-efficient shared breeding support services, rapid-cycle genomic selection, and digital breeding tools. These innovations aim to provide climate-resilient solutions for diverse cropping systems, ensuring that smallholder farmers have timely access to superior varieties. The project strengthens cross-institutional collaboration, enhances breeding data management, and improves scalability and efficiency within breeding pipelines. By optimizing genetic gain, standardizing breeding methodologies, and expanding partnerships, the initiative contributes to sustainable food security, climate adaptation, and increased productivity in developing regions.",,30-Sep-23,29-Jun-25,International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo,global,,Window 3,Bill & Melinda Gates Foundation
Breeding for Tomorrow,110,D0001-SGP-AVISA Accelerated varietal improvement and seed delivery of legumes and cereals in Africa,SGP-AVISA Accelerated varietal improvement and seed delivery of legumes and cereals in Africa,,Agree,High,High,0.9,7828886.7,8698763,"The Accelerated Varietal Improvement and Seed Alliance (AVISA) – Transition Investment is a strategic initiative led by CIMMYT and funded by the Bill & Melinda Gates Foundation (BMGF) to enhance breeding and seed delivery systems for key dryland cereal and legume crops in Sub-Saharan Africa. The project focuses on developing climate-resilient, high-yielding crop varieties that improve productivity and adaptability for small-scale farmers. Through collaborative breeding programs, technology transfer, and private sector engagement, AVISA supports the scaling of superior varieties while strengthening local seed systems to ensure long-term sustainability. The initiative also emphasizes gender inclusion, farmer capacity-building, and policy advocacy to facilitate the widespread adoption of improved crop varieties. By integrating cutting-edge research with on-the-ground implementation, AVISA aims to enhance food security, boost farmer resilience to climate change, and improve agricultural livelihoods in the region.",,31-Dec-22,29-Jun-25,International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo,country,"Ethiopia, Uganda, Mali, Nigeria",Window 3,Bill & Melinda Gates Foundation
Breeding for Tomorrow,166,R-A-2023-34-SGP-AGGRI2 AGGRI Project,SGP-AGGRI2 AGGRI Project,,Agree,High,High,0.7,901807,1288297,"AGGRi2 will support the implementation of the rapid cycle genomic selection (RCGS), a new breeding technology that uses mid-density genotyping and the genomic relationship matrix (GRM) to fundamentally redesign crop breeding pipelines. This will permit the acceleration of the breeding cycle from a current minimum of four years to two. Furthermore, it will allow much more extensive sampling of the target population of environments (TPE) during selection.",,21-Oct-23,27-Feb-25,International Rice Research Institute,country,"Mozambique, Philippines, Uganda, Egypt, Nigeria, India, Kenya, Ghana, Ethiopia, Senegal, Mali, Madagascar, Bangladesh",Window 3,
Breeding for Tomorrow,167,A-AG10183-SGP-AGGRI2 Accelerating Genetic Gain and Varietal,SGP-AGGRI2 Accelerating Genetic Gain and Varietal Replacement in Rice - Phase 2 Project,,Agree,Med,Med,0.65,2293200,NaN,"AGGRi2 is BMGF's investment in CGIAR's rice breeding and seed delivery work. This project builds on the accomplishments of previous BMGF projects such as Stress Tolerant Rice for Africa and South Asia (STRASA), Transforming Rice Breeding (TRB), and the AGGRi Alliance [Phase 1]. This second phase aims to develop and deliver improved rice varieties that respond to the needs of smallholder farmers in the SSA region. AGGRi2 is well aligned and linked to the CGIAR's Market Intelligence, Accelerated Breeding, and Seed Equal initiatives.","(1) Development and supply of improved rice varieties that meet the needs of small-scale farmers in the Sub-Saharan African region; (2) Replacement of older, lower-yielding varieties.",31-Oct-23,27-Feb-25,Africa Rice Center,country,,Window 3,
Breeding for Tomorrow,55,Bill & Melinda Gates Foundation(BMGF)-1000 Farms Research Platform,See project summary.,,Agree,High,High,0.2,639599.614,3197998.07,"1000FARMS aims to implement an Africa-wide network for on-farm variety testing that is digitally supported to provide vital performance data and farmer feedback. This will accelerate breeding of new climate-adapted and farmer-preferred crop varieties.  VISION: 1) CGIAR-NARES breeding networks have sufficient on-farm data on late-stage selection candidates and new releases to ensure they will be high-performing in the hands of farmers and can be recommended for scaling by the seed system; 2.) Farmers have sustainable access to new varieties with demonstratively improved performance over the varieties they currently grow across mandate crops in Africa and 3) Breeding programs deliver, sustain and accurately measure ‘realized’ or on-farm genetic gains in the face of climate change.",,09-Nov-21,30-Dec-25,Alliance of Bioversity and CIAT - Regional Hub (International Center for Tropical Agriculture / Centro Internacional de Agricultura Tropical),country,"Kenya, Zimbabwe, Nigeria, Rwanda, Uganda",Window 3 - Restricted,
Breeding for Tomorrow,220,USA-BMGF-Artemis II - Field Phenotyping Prototype,See project summary.,,Agree,High,High,0.2,545591.4,2727957,"Artemis aims to transform breeding processes by leveraging AI and mobile phone technology to shift breeding programs from majority on-station to majority on-farm, alleviating critical logistical bottlenecks in phenotyping and shortening the breeding cycle. This is achieved through more efficient use of breeding technician time and provision of high quality and replicable data by enhancing the collection of reliable phenomic data through smartphones and to support breeder decision-making using on-farm collected data. A smartphone-deployable computer vision phenotyping tool makes phenotyping more efficient by reducing labor investment and overcoming limitations to the availability of highly trained technicians; reliability is increased as computer vision standardizes data collection and interpretation; and allows for the execution of on-farm breeding process as the phenotyping technology can be mobilized remotely. Computer vision leverages technology to collect data not possible by human eyes and it increases the amount, frequency and types of data, which can be used to derive novel breeding analytics expanding the data for decision making.",,04-Jun-24,29-Jun-26,Alliance of Bioversity and CIAT - Regional Hub (International Center for Tropical Agriculture / Centro Internacional de Agricultura Tropical),country,"Colombia, Uganda",Window 3 - Restricted,
Breeding for Tomorrow,163,"L-CIA022-Screening, Developing and Deploying Anti-methanogen","Screening, Developing and Deploying Anti-methanogenic Feedstock for Livestock Systems in Global South",,Agree,Med,Med,0.5,1696890,3393780,0,0,14-Oct-23,14-Aug-28,International Livestock Research Institute,country,,Bilateral,
Breeding for Tomorrow,242,P-1592-AATF-Rwanda Agricultural Biotechnology Program (Cassa,"Rwanda Agricultural Biotechnology Program (Cassava, Maize, Potato - CRP)",,Agree,Med,Med,1,1000000,1000000,,,09-Oct-24,08-Oct-29,International Potato Center / Centro Internacional de la Papa,country,Rwanda,Bilateral,Bill & Melinda Gates Foundation
Breeding for Tomorrow,140,1523-BMGF  RTB Breeding Investment,RTB Breeding Investment,,Agree,High,Med,0.9,1800000,2000000,"In Africa, Root, Tuber, and Banana (RTB) crops (banana, cassava, potato, sweetpotato and yam) play a major role alleviating poverty, improving food security and climate resilience, and providing better livelihoods to farmers. Though plant breeding is a proven approach to develop varieties tailored to meet customer needs, to achieve success a relentless market-driven stance, constant modernization to increase genetic gains delivered on farmer’s fields, and links with seed systems to accelerate adoption of novel varieties are of essence. RTB Breeding, a BMGF investment focused on serving African farmers, aims to:
● Progressively streamline and mainstream modern breeding approaches in RTB crops, aiming to increase genetic gains delivered on farmer’s fields.
● Achieve progress towards developing effective and efficient CGIAR-NARS breeding networks in RTB crops.
● Quickly transition from a “one crop” mindset towards a shared one, fostering and incentivizing cross-crop, cross-center and cross-national programs collaborations to better serve farmers.",,30-Jun-23,30-Mar-25,International Potato Center / Centro Internacional de la Papa,country,"Uganda, Rwanda, Kenya, Peru, Ethiopia",W3,
Breeding for Tomorrow,99,D-200323-Root2Resilience: Root phenotyping and genetic improvement,Root2Resilience: Root phenotyping and genetic improvement for rotational crops resilient to environmental change,,Agree,High,High,1,103465.2425,103465.2425,"The project aims to find strategies to boost crop breeding and connected research activities in their efforts to increase the resilience of cropping systems to climate change impacts through the development of innovative tools and the characterization of species, genotypes and molecular root traits associated with root and rhizosphere ideotypes that increase tolerance against abiotic stresses and carbon sequestration. To this end, the project hypothesize that crop adaptation to environmental constraints is mediated, at least in part, by the extended root phenotype, and that genotypic variation exists in prevalent and emerging crop species in root and rhizosphere traits that can be used to improve resilience of rotational systems to environmental change through breeding. The project utilizes a multidisciplinary research programme aimed at collecting, quantifying and deploying root traits in a range of agricultural-relevant situations for European and global agriculture.",,31-Aug-22,30-Aug-27,International Center for Agricultural Research in the Dry Areas,country,"Morocco, Lebanon",Bilateral,
Breeding for Tomorrow,255,R-A-2023-77 Rice Productivity MZ,Rice Productivity in Mozambique,,Agree,High,High,0.3,271803.3,906011,"The project aims to: (a) boost the production and distribution of high-yielding, climate-smart rice seed; (b) enhance crop productivity and market systems; and (c) build sustainable irrigation scheme management capacity. IRRI will focus on two key interventions in rice value chain development: (1) Strengthening the seed production system and (2) Enhancing the capacity of associations managing irrigation schemes.
 
 IRRI will partner with the Instituto de Investigação de Moçambique (IIAM) for EGS production and supply and collaborate with the National Institute of Irrigation (INIR) to provide technical support for irrigation management. Additionally, IRRI will collaborate with ADRA Mozambique, which will act as a market facilitator and deliver extension services via VBAs and SDAEs. ADRA, separately engaged by AGRA, will undertake complementary activities and deliverables.",,03-Dec-24,03-Feb-28,International Rice Research Institute,country,Mozambique,Bilateral,
